0	75.7433
1	76.7667
2	77.25
3	77.6333
4	77.74
5	77.9767
6	78.0333
7	77.7133
8	77.4333
9	76.47
10	75.43
11	73.4733
12	71.3533
13	67.34
14	63.5433
15	58.0067
16	57.9567
17	56.1536
18	58.6407
19	61.06
20	62.8633
21	65.3833
22	67.2533
23	69.4733
24	70.8633
25	72.91
26	74.3367
27	75.8767
28	76.57
29	77.1767
30	77.5433
31	77.83
32	77.9167
33	78.11
34	78.0067
35	77.5767
36	77.0633
37	75.8567
38	74.7433
39	72.3067
40	70.3733
41	65.96
42	61.8367
43	57.1933
44	57.3223
45	59.7233
46	61.3733
47	63.92
48	63.9633
49	66.4167
50	68.2167
51	70.5533
52	72.1767
53	74.18
54	75.3433
55	76.4133
56	76.9367
57	77.4433
58	77.8433
59	78.0333
60	78.1867
61	78.0467
62	77.81
63	77.1233
