#chan	code	gain	offset	innse	comment
   0	1100	0.0	0.0	   0	low gain
   1	4100	0.9	0.9	26003	low gain
   2	4100	0.9	0.9	25851	low gain
   3	1000	72.6	72.6	 441	unbonded
   4	4100	1.3	1.3	19217	low gain
   5	4100	1.3	1.3	22831	low gain
   6	4104	1.2	1.2	19088	low gain
   7	4100	0.9	0.9	28336	low gain
   8	4100	1.1	1.1	23382	low gain
   9	4100	1.3	1.3	17129	low gain
  10	4100	1.3	1.3	18018	low gain
  11	1000	69.2	69.2	 441	unbonded
  12	4100	1.4	1.4	18130	low gain
  13	4100	0.9	0.9	22809	low gain
  14	4100	0.9	0.9	26794	low gain
  15	4100	1.1	1.1	22010	low gain
  16	4100	0.9	0.9	25110	low gain
  17	4100	1.1	1.1	20931	low gain
  18	4100	1.3	1.3	19284	low gain
  19	1000	70.6	70.6	 429	unbonded
  20	4100	1.5	1.5	14562	low gain
  21	4100	1.1	1.1	19719	low gain
  22	4100	1.0	1.0	22930	low gain
  23	4100	1.2	1.2	21373	low gain
  24	4100	1.1	1.1	20955	low gain
  25	4100	1.5	1.5	14494	low gain
  26	4100	0.9	0.9	27035	low gain
  27	1000	70.8	70.8	 418	unbonded
  28	4100	1.4	1.4	15239	low gain
  29	4100	0.9	0.9	26102	low gain
  30	4100	0.7	0.7	32927	low gain
  31	4100	1.1	1.1	22672	low gain
  32	4100	0.8	0.8	27395	low gain
  33	4100	1.1	1.1	20578	low gain
  34	4100	1.1	1.1	21678	low gain
  35	1000	71.1	71.1	 408	unbonded
  36	4100	1.5	1.5	15736	low gain
  37	4100	1.2	1.2	18405	low gain
  38	4100	1.1	1.1	21298	low gain
  39	4100	0.9	0.9	24837	low gain
  40	4100	0.9	0.9	29849	low gain
  41	4100	1.0	1.0	22905	low gain
  42	4100	1.1	1.1	21380	low gain
  43	1000	69.5	69.5	 453	unbonded
  44	4100	1.1	1.1	20994	low gain
  45	4100	1.5	1.5	16187	low gain
  46	4100	1.2	1.2	19384	low gain
  47	4100	1.1	1.1	21206	low gain
  48	4100	0.9	0.9	25381	low gain
  49	4100	1.2	1.2	19168	low gain
  50	4100	0.5	0.5	47198	low gain
  51	1000	71.0	71.0	 420	unbonded
  52	4100	1.4	1.4	15918	low gain
  53	4100	1.0	1.0	21093	low gain
  54	4100	1.4	1.4	15122	low gain
  55	4100	1.3	1.3	19332	low gain
  56	4100	1.1	1.1	21581	low gain
  57	4100	1.2	1.2	20658	low gain
  58	4100	0.8	0.8	29177	low gain
  59	1000	72.1	72.1	 415	unbonded
  60	4100	1.7	1.7	13191	low gain
  61	4100	1.1	1.1	21745	low gain
  62	4100	1.0	1.0	21258	low gain
  63	4100	1.2	1.2	19221	low gain
  64	4100	1.2	1.2	19415	low gain
  65	4100	1.3	1.3	18903	low gain
  66	4100	1.4	1.4	18978	low gain
  67	1000	67.9	67.9	 411	unbonded
  68	4100	1.1	1.1	21148	low gain
  69	4100	1.3	1.3	18827	low gain
  70	4100	1.0	1.0	23637	low gain
  71	4100	1.1	1.1	21099	low gain
  72	4100	1.2	1.2	19223	low gain
  73	4104	1.5	1.5	15703	low gain
  74	4100	1.3	1.3	19485	low gain
  75	1000	71.7	71.7	 441	unbonded
  76	4100	1.4	1.4	16643	low gain
  77	4100	0.6	0.6	42008	low gain
  78	4100	1.5	1.5	15509	low gain
  79	4100	1.1	1.1	21258	low gain
  80	4100	0.8	0.8	29291	low gain
  81	4100	1.3	1.3	18641	low gain
  82	4100	0.8	0.8	30207	low gain
  83	1000	71.6	71.6	 445	unbonded
  84	4100	1.3	1.3	17591	low gain
  85	4100	1.3	1.3	17856	low gain
  86	4100	1.2	1.2	20246	low gain
  87	4100	1.2	1.2	19761	low gain
  88	4100	1.1	1.1	20602	low gain
  89	4100	1.4	1.4	16586	low gain
  90	4100	1.2	1.2	19710	low gain
  91	1000	71.1	71.1	 444	unbonded
  92	4100	0.9	0.9	25501	low gain
  93	4100	0.9	0.9	26107	low gain
  94	4100	0.8	0.8	29879	low gain
  95	4100	0.8	0.8	26584	low gain
  96	4100	1.0	1.0	23143	low gain
  97	4100	0.8	0.8	26049	low gain
  98	4100	0.9	0.9	25962	low gain
  99	1000	72.2	72.2	 425	unbonded
 100	4100	1.7	1.7	13261	low gain
 101	4100	1.0	1.0	22674	low gain
 102	4100	1.1	1.1	22165	low gain
 103	4100	1.0	1.0	24652	low gain
 104	4100	1.3	1.3	18171	low gain
 105	4100	1.2	1.2	20621	low gain
 106	4100	1.1	1.1	21717	low gain
 107	1000	70.4	70.4	 439	unbonded
 108	4100	1.3	1.3	18152	low gain
 109	4100	1.1	1.1	22976	low gain
 110	4100	0.7	0.7	31524	low gain
 111	4100	1.0	1.0	23217	low gain
 112	4100	1.2	1.2	20159	low gain
 113	4100	1.0	1.0	24893	low gain
 114	4100	1.1	1.1	22839	low gain
 115	1000	69.3	69.3	 411	unbonded
 116	4100	1.7	1.7	14468	low gain
 117	4100	0.7	0.7	32350	low gain
 118	4100	1.0	1.0	22651	low gain
 119	4100	0.9	0.9	25693	low gain
 120	4100	1.0	1.0	23895	low gain
 121	4100	0.8	0.8	31546	low gain
 122	4100	1.1	1.1	21956	low gain
 123	4000	73.7	73.7	 702	high noise
