#chan	code	gain	offset	innse	comment
   0	1100	0.0	0.0	   0	low gain
   1	4100	1.3	1.3	17630	low gain
   2	4100	1.3	1.3	18265	low gain
   3	4100	1.2	1.2	21074	low gain
   4	4100	0.8	0.8	28231	low gain
   5	4000	78.1	78.1	 543	high noise
   6	4104	0.8	0.8	24922	low gain
   7	4100	1.1	1.1	20905	low gain
   8	4100	1.3	1.3	18390	low gain
   9	4100	1.5	1.5	17501	low gain
  10	4100	0.8	0.8	29321	low gain
  11	4100	0.8	0.8	27364	low gain
  12	4100	1.0	1.0	24640	low gain
  13	1000	74.6	74.6	 390	unbonded
  14	4100	1.7	1.7	14643	low gain
  15	4100	1.3	1.3	19492	low gain
  16	4100	1.1	1.1	22379	low gain
  17	4100	1.1	1.1	20738	low gain
  18	4100	1.2	1.2	18856	low gain
  19	4100	1.2	1.2	20372	low gain
  20	4100	1.0	1.0	20367	low gain
  21	1000	74.6	74.6	 366	unbonded
  22	4100	1.5	1.5	15472	low gain
  23	4100	1.0	1.0	23396	low gain
  24	4100	1.3	1.3	18361	low gain
  25	4100	1.1	1.1	21941	low gain
  26	4100	0.8	0.8	30056	low gain
  27	4100	0.9	0.9	26723	low gain
  28	4100	0.9	0.9	24158	low gain
  29	1000	74.1	74.1	 389	unbonded
  30	4100	0.8	0.8	31310	low gain
  31	4100	1.2	1.2	20578	low gain
  32	4100	1.3	1.3	18858	low gain
  33	4100	0.8	0.8	29625	low gain
  34	4100	1.3	1.3	17735	low gain
  35	4100	0.9	0.9	25903	low gain
  36	4100	0.8	0.8	31923	low gain
  37	1000	73.9	73.9	 412	unbonded
  38	4100	1.4	1.4	16943	low gain
  39	4100	1.0	1.0	22465	low gain
  40	4100	1.0	1.0	25101	low gain
  41	4100	0.7	0.7	33304	low gain
  42	4100	0.8	0.8	29780	low gain
  43	4100	1.0	1.0	26579	low gain
  44	4100	1.0	1.0	21175	low gain
  45	1000	75.5	75.5	 387	unbonded
  46	4100	1.1	1.1	20057	low gain
  47	4100	1.3	1.3	18513	low gain
  48	4100	0.8	0.8	30242	low gain
  49	4100	1.2	1.2	18813	low gain
  50	4100	0.8	0.8	28731	low gain
  51	4100	0.9	0.9	25663	low gain
  52	4100	1.0	1.0	23245	low gain
  53	1000	73.9	73.9	 390	unbonded
  54	4100	1.3	1.3	16567	low gain
  55	4100	1.2	1.2	18323	low gain
  56	4100	1.1	1.1	21123	low gain
  57	4100	1.4	1.4	17010	low gain
  58	4100	1.2	1.2	19495	low gain
  59	4100	1.1	1.1	22965	low gain
  60	4100	1.0	1.0	23697	low gain
  61	1000	74.1	74.1	 402	unbonded
  62	4100	1.2	1.2	18843	low gain
  63	4100	1.1	1.1	20844	low gain
  64	4100	1.1	1.1	22800	low gain
  65	4100	1.0	1.0	22768	low gain
  66	4100	1.3	1.3	19275	low gain
  67	4100	1.4	1.4	16079	low gain
  68	4100	1.4	1.4	17442	low gain
  69	1000	76.6	76.6	 412	unbonded
  70	4100	1.3	1.3	18597	low gain
  71	4100	1.1	1.1	22319	low gain
  72	4100	1.5	1.5	14532	low gain
  73	4104	1.2	1.2	18838	low gain
  74	4100	0.9	0.9	25756	low gain
  75	4100	1.1	1.1	23768	low gain
  76	4100	1.2	1.2	18247	low gain
  77	1000	75.6	75.6	 392	unbonded
  78	4100	1.4	1.4	17898	low gain
