#chan	code	gain	offset	innse	comment
   0	1100	0.0	0.0	   0	low gain
   1	4100	1.2	1.2	19526	low gain
   2	4100	1.1	1.1	22889	low gain
   3	1000	71.7	71.7	 437	unbonded
   4	4100	1.0	1.0	24004	low gain
   5	4100	1.1	1.1	27155	low gain
   6	4104	0.8	0.8	28299	low gain
   7	4100	1.4	1.4	17939	low gain
   8	4100	1.6	1.6	14005	low gain
   9	4100	1.3	1.3	17481	low gain
  10	4100	0.8	0.8	30143	low gain
  11	1000	67.9	67.9	 417	unbonded
  12	4100	1.1	1.1	22605	low gain
  13	4100	1.3	1.3	18620	low gain
  14	4100	1.4	1.4	16212	low gain
  15	4100	1.0	1.0	21133	low gain
  16	4100	1.2	1.2	19373	low gain
  17	4100	1.3	1.3	19546	low gain
  18	4100	1.4	1.4	17115	low gain
  19	1000	68.8	68.8	 415	unbonded
  20	4100	1.4	1.4	16142	low gain
  21	4100	0.9	0.9	24250	low gain
  22	4100	0.8	0.8	30711	low gain
  23	4100	1.1	1.1	22576	low gain
  24	4100	1.3	1.3	17126	low gain
  25	4100	1.1	1.1	19676	low gain
  26	4100	1.1	1.1	22113	low gain
  27	1000	70.0	70.0	 416	unbonded
  28	4100	1.5	1.5	15782	low gain
  29	4100	1.2	1.2	20289	low gain
  30	4100	1.1	1.1	21089	low gain
  31	4100	0.8	0.8	31527	low gain
  32	4100	1.0	1.0	25512	low gain
  33	4100	0.8	0.8	29459	low gain
  34	4100	0.7	0.7	33537	low gain
  35	1000	69.1	69.1	 422	unbonded
  36	4100	1.1	1.1	21889	low gain
  37	4100	1.3	1.3	19263	low gain
  38	4100	1.7	1.7	13027	low gain
  39	4100	0.9	0.9	23819	low gain
  40	4100	0.9	0.9	27914	low gain
  41	4100	1.2	1.2	18975	low gain
  42	4100	0.8	0.8	29667	low gain
  43	1000	68.3	68.3	 455	unbonded
  44	4100	1.7	1.7	11860	low gain
  45	4100	1.4	1.4	17017	low gain
  46	4100	1.1	1.1	20600	low gain
  47	4100	1.0	1.0	22568	low gain
  48	4100	1.2	1.2	19282	low gain
  49	4100	1.1	1.1	21922	low gain
  50	4100	1.1	1.1	23680	low gain
  51	1000	69.6	69.6	 402	unbonded
  52	4100	1.2	1.2	18055	low gain
  53	4100	1.2	1.2	18330	low gain
  54	4100	1.2	1.2	18745	low gain
  55	4100	1.5	1.5	16158	low gain
  56	4100	1.0	1.0	24100	low gain
  57	4100	0.9	0.9	27918	low gain
  58	4100	1.3	1.3	17078	low gain
  59	1000	70.5	70.5	 451	unbonded
  60	4100	1.2	1.2	18535	low gain
  61	4100	1.4	1.4	18660	low gain
  62	4100	1.0	1.0	21671	low gain
  63	4100	0.8	0.8	29128	low gain
  64	4100	1.4	1.4	17203	low gain
  65	4100	1.2	1.2	19974	low gain
  66	4100	1.4	1.4	17391	low gain
  67	1000	66.6	66.6	 405	unbonded
  68	4100	1.4	1.4	16602	low gain
  69	4100	1.0	1.0	23996	low gain
  70	4100	1.4	1.4	18814	low gain
  71	4100	1.0	1.0	22707	low gain
  72	4100	1.1	1.1	21736	low gain
  73	4104	1.2	1.2	18310	low gain
  74	4100	0.9	0.9	29529	low gain
  75	1000	70.4	70.4	 435	unbonded
  76	4100	1.2	1.2	18624	low gain
  77	4100	1.1	1.1	22041	low gain
  78	4100	1.1	1.1	20275	low gain
  79	4100	0.6	0.6	39008	low gain
  80	4100	1.2	1.2	20620	low gain
  81	4100	1.4	1.4	18168	low gain
  82	4100	0.7	0.7	33695	low gain
  83	1000	71.0	71.0	 426	unbonded
  84	4100	1.1	1.1	22019	low gain
  85	4100	1.4	1.4	17937	low gain
  86	4100	0.8	0.8	29907	low gain
  87	4100	1.2	1.2	18507	low gain
  88	4100	1.0	1.0	24619	low gain
  89	4100	1.3	1.3	19778	low gain
  90	4100	1.3	1.3	19754	low gain
  91	1000	69.9	69.9	 433	unbonded
  92	4100	1.8	1.8	13162	low gain
  93	4100	1.0	1.0	23808	low gain
  94	4100	1.6	1.6	14220	low gain
  95	4100	1.1	1.1	20600	low gain
  96	4100	1.3	1.3	18829	low gain
  97	4100	1.1	1.1	22528	low gain
  98	4100	1.1	1.1	22050	low gain
  99	1000	71.2	71.2	 420	unbonded
 100	4100	1.2	1.2	19981	low gain
 101	4100	1.3	1.3	18577	low gain
 102	4100	1.1	1.1	20354	low gain
 103	4100	1.0	1.0	25378	low gain
 104	4100	1.5	1.5	15142	low gain
 105	4100	1.6	1.6	15530	low gain
 106	4100	1.3	1.3	17752	low gain
 107	1000	69.0	69.0	 447	unbonded
 108	4100	1.2	1.2	17377	low gain
 109	4100	1.3	1.3	18731	low gain
