#chan	code	gain	offset	innse	comment
   0	1100	0.0	0.0	   0	low gain
   1	4100	1.3	1.3	17158	low gain
   2	4100	1.5	1.5	15457	low gain
   3	4100	1.4	1.4	15903	low gain
   4	4100	0.7	0.7	35998	low gain
   5	4000	73.9	73.9	 554	high noise
   6	4104	0.8	0.8	27813	low gain
   7	4100	1.0	1.0	24465	low gain
   8	4100	1.4	1.4	17645	low gain
   9	4100	1.2	1.2	19776	low gain
  10	4100	0.8	0.8	29777	low gain
  11	4100	1.3	1.3	17497	low gain
  12	4100	1.4	1.4	17913	low gain
  13	1000	68.8	68.8	 421	unbonded
  14	4100	1.8	1.8	13878	low gain
  15	4100	0.6	0.6	41957	low gain
  16	4100	1.4	1.4	15317	low gain
  17	4100	1.7	1.7	14606	low gain
  18	4100	1.8	1.8	13193	low gain
  19	4100	0.9	0.9	25226	low gain
  20	4100	1.3	1.3	18327	low gain
  21	1000	67.6	67.6	 443	unbonded
  22	4100	1.4	1.4	17470	low gain
  23	4100	1.3	1.3	18125	low gain
  24	4100	1.4	1.4	17155	low gain
  25	4100	1.1	1.1	20381	low gain
  26	4100	1.2	1.2	19972	low gain
  27	4100	0.7	0.7	34159	low gain
  28	4100	1.3	1.3	16741	low gain
  29	1000	68.3	68.3	 444	unbonded
  30	4100	1.0	1.0	25062	low gain
  31	4100	0.9	0.9	26914	low gain
  32	4100	1.1	1.1	20474	low gain
  33	4100	0.8	0.8	27913	low gain
  34	4100	1.3	1.3	18178	low gain
  35	4100	1.0	1.0	26466	low gain
  36	4100	1.0	1.0	22190	low gain
  37	1000	67.4	67.4	 446	unbonded
  38	4100	1.2	1.2	18270	low gain
  39	4100	0.9	0.9	25994	low gain
  40	4100	1.3	1.3	19604	low gain
  41	4100	1.3	1.3	19321	low gain
  42	4100	1.2	1.2	18265	low gain
  43	4100	0.8	0.8	30277	low gain
  44	4100	1.3	1.3	17912	low gain
  45	1000	69.6	69.6	 426	unbonded
  46	4100	1.3	1.3	17353	low gain
  47	4100	0.9	0.9	27379	low gain
  48	4100	1.1	1.1	20099	low gain
  49	4100	1.0	1.0	22139	low gain
  50	4100	1.3	1.3	18242	low gain
  51	4100	1.4	1.4	18272	low gain
  52	4100	1.0	1.0	22548	low gain
  53	1000	68.1	68.1	 407	unbonded
  54	4100	1.7	1.7	13034	low gain
  55	4100	0.9	0.9	28639	low gain
  56	4100	1.3	1.3	18957	low gain
  57	4100	1.0	1.0	24347	low gain
  58	4100	1.5	1.5	14965	low gain
  59	4100	1.2	1.2	20744	low gain
  60	4100	1.3	1.3	15895	low gain
  61	1000	68.1	68.1	 429	unbonded
  62	4100	1.1	1.1	22366	low gain
  63	4100	1.3	1.3	18798	low gain
  64	4100	0.8	0.8	26676	low gain
  65	4100	1.2	1.2	18887	low gain
  66	4100	1.7	1.7	14279	low gain
  67	4100	1.2	1.2	19310	low gain
  68	4100	1.2	1.2	20048	low gain
  69	1000	70.0	70.0	 437	unbonded
  70	4100	1.2	1.2	19561	low gain
  71	4100	1.6	1.6	13998	low gain
  72	4100	1.5	1.5	16233	low gain
  73	4104	0.9	0.9	22975	low gain
  74	4100	1.6	1.6	14564	low gain
  75	4100	0.8	0.8	31674	low gain
  76	4100	1.4	1.4	15053	low gain
  77	1000	69.2	69.2	 441	unbonded
  78	4100	1.4	1.4	16025	low gain
  79	4100	0.9	0.9	27850	low gain
  80	4100	1.3	1.3	18835	low gain
  81	4100	1.1	1.1	23849	low gain
  82	4100	1.0	1.0	23480	low gain
  83	4100	1.3	1.3	19623	low gain
  84	4100	1.4	1.4	14674	low gain
  85	1000	69.0	69.0	 423	unbonded
  86	4100	1.5	1.5	14180	low gain
  87	4100	1.0	1.0	22409	low gain
  88	4100	1.0	1.0	25405	low gain
  89	4100	1.1	1.1	21812	low gain
  90	4100	1.3	1.3	18942	low gain
  91	4100	0.7	0.7	34258	low gain
  92	4100	1.0	1.0	23165	low gain
  93	1000	70.0	70.0	 435	unbonded
  94	4100	1.7	1.7	14580	low gain
  95	4100	1.0	1.0	25808	low gain
  96	4100	0.8	0.8	27079	low gain
  97	4100	1.1	1.1	21269	low gain
