#chan	code	gain	offset	innse	comment
   0	1100	0.0	0.0	   0	low gain
   1	4100	1.2	1.2	19157	low gain
   2	4100	1.2	1.2	17482	low gain
   3	1000	79.0	79.0	 421	unbonded
   4	4100	1.2	1.2	21197	low gain
   5	4100	1.3	1.3	21677	low gain
   6	4104	1.1	1.1	20940	low gain
   7	4100	0.8	0.8	29693	low gain
   8	4100	1.1	1.1	21796	low gain
   9	4100	1.2	1.2	20414	low gain
  10	4100	0.9	0.9	27635	low gain
  11	1000	75.5	75.5	 423	unbonded
  12	4100	1.8	1.8	13274	low gain
  13	4100	0.8	0.8	29719	low gain
  14	4100	1.3	1.3	18247	low gain
  15	4100	1.3	1.3	19790	low gain
  16	4100	1.6	1.6	13589	low gain
  17	4100	1.1	1.1	21554	low gain
  18	4100	0.7	0.7	30987	low gain
  19	1000	75.4	75.4	 411	unbonded
  20	4100	1.5	1.5	14420	low gain
  21	4100	1.5	1.5	15749	low gain
  22	4100	1.3	1.3	18403	low gain
  23	4100	1.3	1.3	19562	low gain
  24	4100	0.8	0.8	29857	low gain
  25	4100	1.3	1.3	16925	low gain
  26	4100	0.8	0.8	31802	low gain
  27	1000	75.9	75.9	 376	unbonded
  28	4100	1.5	1.5	15501	low gain
  29	4100	1.3	1.3	17758	low gain
  30	4100	1.4	1.4	17129	low gain
  31	4100	0.7	0.7	33073	low gain
  32	4100	1.2	1.2	20273	low gain
  33	4100	1.1	1.1	23052	low gain
  34	4100	1.3	1.3	16508	low gain
  35	1000	76.0	76.0	 406	unbonded
  36	4100	1.3	1.3	17247	low gain
  37	4100	0.9	0.9	24509	low gain
  38	4100	1.3	1.3	17614	low gain
  39	4100	0.7	0.7	32641	low gain
  40	4100	1.1	1.1	21023	low gain
  41	4100	1.2	1.2	18514	low gain
  42	4100	1.1	1.1	21165	low gain
  43	1000	76.4	76.4	 393	unbonded
  44	4100	1.0	1.0	24578	low gain
  45	4100	1.1	1.1	21894	low gain
  46	4100	1.2	1.2	18710	low gain
  47	4100	1.4	1.4	17137	low gain
  48	4100	1.5	1.5	15543	low gain
  49	4100	1.4	1.4	16225	low gain
  50	4100	1.0	1.0	22912	low gain
  51	1000	77.0	77.0	 409	unbonded
  52	4100	1.4	1.4	16223	low gain
  53	4100	1.5	1.5	14827	low gain
  54	4100	1.3	1.3	16227	low gain
  55	4100	1.4	1.4	17494	low gain
  56	4100	1.1	1.1	22860	low gain
  57	4100	1.6	1.6	15071	low gain
  58	4100	1.3	1.3	18009	low gain
  59	1000	78.5	78.5	 403	unbonded
  60	4100	1.3	1.3	17869	low gain
  61	4100	0.9	0.9	24847	low gain
  62	4100	1.5	1.5	16192	low gain
  63	4100	1.1	1.1	21995	low gain
  64	4100	1.5	1.5	15249	low gain
  65	4100	1.3	1.3	18511	low gain
  66	4100	1.2	1.2	21704	low gain
  67	1000	74.8	74.8	 397	unbonded
  68	4100	1.2	1.2	19602	low gain
  69	4100	1.4	1.4	16824	low gain
  70	4100	1.2	1.2	20668	low gain
  71	4100	1.4	1.4	17668	low gain
  72	4100	1.3	1.3	18161	low gain
  73	4104	0.9	0.9	24712	low gain
  74	4100	1.4	1.4	16555	low gain
  75	1000	77.9	77.9	 408	unbonded
  76	4100	1.3	1.3	15832	low gain
  77	4100	1.3	1.3	18104	low gain
  78	4100	1.0	1.0	25225	low gain
  79	4100	1.3	1.3	17511	low gain
  80	4100	1.1	1.1	21499	low gain
  81	4100	1.0	1.0	22434	low gain
  82	4100	1.2	1.2	18691	low gain
  83	1000	77.7	77.7	 388	unbonded
  84	4100	1.1	1.1	21623	low gain
  85	4100	1.6	1.6	14976	low gain
  86	4100	1.3	1.3	18453	low gain
  87	4100	1.7	1.7	14595	low gain
  88	4100	0.9	0.9	25821	low gain
