#chan	code	gain	offset	innse	comment
   0	1100	0.0	0.0	   0	low gain
   1	4100	0.9	0.9	24452	low gain
   2	4100	1.2	1.2	19953	low gain
   3	4100	1.2	1.2	20040	low gain
   4	4100	1.6	1.6	14732	low gain
   5	4000	63.0	63.0	 584	high noise
   6	4104	1.4	1.4	15484	low gain
   7	4100	1.4	1.4	15428	low gain
   8	4100	1.0	1.0	22863	low gain
   9	4100	1.1	1.1	21844	low gain
  10	4100	1.1	1.1	20974	low gain
  11	4100	1.5	1.5	16208	low gain
  12	4100	1.5	1.5	16561	low gain
  13	1000	65.1	65.1	 414	unbonded
  14	4100	1.7	1.7	14147	low gain
  15	4100	1.3	1.3	18072	low gain
  16	4100	1.3	1.3	16721	low gain
  17	4100	1.1	1.1	20610	low gain
  18	4100	0.7	0.7	27620	low gain
  19	4100	1.4	1.4	16705	low gain
  20	4100	1.5	1.5	15377	low gain
  21	1000	67.0	67.0	 442	unbonded
  22	4100	1.0	1.0	24440	low gain
  23	4100	1.5	1.5	16196	low gain
  24	4100	1.4	1.4	17334	low gain
  25	4100	0.8	0.8	28146	low gain
  26	4100	1.0	1.0	24722	low gain
  27	4100	1.2	1.2	20592	low gain
  28	4100	1.8	1.8	12314	low gain
  29	1000	64.0	64.0	 429	unbonded
  30	4100	1.5	1.5	16603	low gain
  31	4100	1.0	1.0	24828	low gain
  32	4100	0.9	0.9	24109	low gain
  33	4100	1.3	1.3	17058	low gain
  34	4100	1.2	1.2	19601	low gain
  35	4100	1.0	1.0	24052	low gain
  36	4100	1.1	1.1	18769	low gain
  37	1000	66.1	66.1	 437	unbonded
  38	4100	1.3	1.3	17351	low gain
  39	4100	1.1	1.1	22065	low gain
  40	4100	1.3	1.3	18898	low gain
  41	4100	0.9	0.9	25372	low gain
  42	4100	1.6	1.6	14161	low gain
  43	4100	1.5	1.5	16756	low gain
  44	4100	0.8	0.8	29026	low gain
  45	1000	67.0	67.0	 457	unbonded
  46	4100	1.6	1.6	13801	low gain
  47	4100	1.8	1.8	12973	low gain
  48	4100	1.5	1.5	15068	low gain
  49	4100	1.0	1.0	23656	low gain
  50	4100	1.3	1.3	20307	low gain
  51	4100	1.2	1.2	19870	low gain
  52	4100	1.1	1.1	20113	low gain
  53	1000	65.3	65.3	 455	unbonded
  54	4100	1.3	1.3	16440	low gain
  55	4100	1.2	1.2	19484	low gain
  56	4100	1.2	1.2	19653	low gain
  57	4100	0.9	0.9	25979	low gain
  58	4100	1.3	1.3	16998	low gain
  59	4100	0.9	0.9	26446	low gain
  60	4100	1.2	1.2	19576	low gain
  61	1000	67.8	67.8	 436	unbonded
  62	4100	1.9	1.9	11906	low gain
  63	4100	1.3	1.3	19033	low gain
  64	4100	1.2	1.2	20108	low gain
  65	4100	1.1	1.1	22654	low gain
  66	4100	1.5	1.5	16866	low gain
  67	4100	0.9	0.9	27273	low gain
  68	4100	1.1	1.1	20612	low gain
  69	1000	70.2	70.2	 429	unbonded
  70	4100	1.0	1.0	25617	low gain
  71	4100	1.3	1.3	18103	low gain
  72	4100	1.3	1.3	18518	low gain
  73	4104	1.3	1.3	17439	low gain
  74	4100	0.9	0.9	26335	low gain
  75	4100	1.6	1.6	15384	low gain
  76	4100	0.9	0.9	23431	low gain
  77	1000	67.5	67.5	 441	unbonded
  78	4100	1.2	1.2	19736	low gain
  79	4100	0.8	0.8	31983	low gain
  80	4100	1.1	1.1	21970	low gain
  81	4100	1.2	1.2	21651	low gain
  82	4100	0.4	0.4	51393	low gain
  83	4100	2.0	2.0	13048	low gain
  84	4100	1.4	1.4	17017	low gain
  85	1000	67.9	67.9	 437	unbonded
