#chan	code	gain	offset	innse	comment
   0	1100	0.0	0.0	   0	low gain
   1	4100	1.1	1.1	22471	low gain
   2	4100	1.0	1.0	22089	low gain
   3	4100	0.9	0.9	27043	low gain
   4	4100	1.5	1.5	15599	low gain
   5	1000	76.1	76.1	 537	unbonded
   6	4104	1.6	1.6	12580	low gain
   7	4100	0.7	0.7	36202	low gain
   8	4100	1.2	1.2	18027	low gain
   9	4100	1.2	1.2	18166	low gain
  10	4100	0.9	0.9	28342	low gain
  11	4100	1.4	1.4	16553	low gain
  12	4100	1.5	1.5	15569	low gain
  13	1000	71.9	71.9	 419	unbonded
  14	4100	1.3	1.3	18076	low gain
  15	4100	0.5	0.5	49439	low gain
  16	4100	1.1	1.1	21541	low gain
  17	4100	1.2	1.2	21405	low gain
  18	4100	0.9	0.9	24748	low gain
  19	4100	1.2	1.2	20409	low gain
  20	4100	1.4	1.4	16248	low gain
  21	1000	71.0	71.0	 405	unbonded
  22	4100	1.5	1.5	17067	low gain
  23	4100	0.6	0.6	37844	low gain
  24	4100	1.1	1.1	20729	low gain
  25	4100	1.0	1.0	23506	low gain
  26	4100	1.0	1.0	22691	low gain
  27	4100	1.3	1.3	18000	low gain
  28	4100	1.1	1.1	20251	low gain
  29	1000	71.9	71.9	 423	unbonded
  30	4100	1.3	1.3	19274	low gain
  31	4100	0.8	0.8	29995	low gain
  32	4100	1.1	1.1	20600	low gain
  33	4100	1.0	1.0	23126	low gain
  34	4100	1.0	1.0	26435	low gain
  35	4100	1.2	1.2	20481	low gain
  36	4100	1.8	1.8	12071	low gain
  37	1000	71.0	71.0	 394	unbonded
  38	4100	1.3	1.3	17002	low gain
  39	4100	1.3	1.3	17019	low gain
  40	4100	0.7	0.7	32223	low gain
  41	4100	1.0	1.0	22302	low gain
  42	4100	1.3	1.3	17157	low gain
  43	4100	1.0	1.0	21848	low gain
  44	4100	0.7	0.7	35042	low gain
  45	1000	73.1	73.1	 404	unbonded
  46	4100	1.2	1.2	19111	low gain
  47	4100	1.2	1.2	19125	low gain
  48	4100	1.0	1.0	24725	low gain
