#chan	code	gain	offset	innse	comment
   0	1100	0.0	0.0	   0	low gain
   1	4100	1.1	1.1	20962	low gain
   2	4100	1.1	1.1	21707	low gain
   3	1000	60.0	60.0	 505	unbonded
   4	4100	1.1	1.1	21696	low gain
   5	4100	0.9	0.9	34904	low gain
   6	4104	1.1	1.1	20773	low gain
   7	4100	1.2	1.2	19353	low gain
   8	4100	1.0	1.0	24533	low gain
   9	4100	1.3	1.3	19538	low gain
  10	4100	1.1	1.1	22707	low gain
  11	   0	56.2	56.2	 542	OK
  12	4100	1.9	1.9	11657	low gain
  13	4100	0.9	0.9	24985	low gain
  14	4100	1.5	1.5	16383	low gain
  15	4100	1.4	1.4	17172	low gain
  16	4100	1.3	1.3	18548	low gain
  17	4100	1.6	1.6	16039	low gain
  18	4100	1.2	1.2	20900	low gain
  19	1000	57.7	57.7	 522	unbonded
  20	4100	1.5	1.5	14434	low gain
  21	4100	1.4	1.4	16951	low gain
  22	4100	1.6	1.6	15518	low gain
  23	4100	1.1	1.1	22765	low gain
  24	4100	1.1	1.1	21071	low gain
  25	4100	1.1	1.1	24607	low gain
  26	4100	1.3	1.3	18457	low gain
  27	1000	57.9	57.9	 504	unbonded
  28	4100	1.5	1.5	14130	low gain
  29	4100	1.2	1.2	19581	low gain
  30	4100	1.1	1.1	22501	low gain
  31	4100	1.2	1.2	18986	low gain
  32	4100	1.1	1.1	22013	low gain
  33	4100	1.3	1.3	18075	low gain
  34	4100	1.0	1.0	21020	low gain
  35	1000	58.1	58.1	 497	unbonded
  36	4100	1.5	1.5	14575	low gain
  37	4100	1.3	1.3	18370	low gain
  38	4100	1.1	1.1	19929	low gain
  39	4100	1.2	1.2	18900	low gain
  40	4100	1.0	1.0	24479	low gain
  41	4100	1.1	1.1	19540	low gain
  42	4100	1.4	1.4	16761	low gain
  43	1000	57.4	57.4	 497	unbonded
  44	4100	1.5	1.5	16423	low gain
  45	4100	1.3	1.3	17402	low gain
  46	4100	1.0	1.0	21869	low gain
  47	4100	1.3	1.3	17121	low gain
  48	4100	0.9	0.9	25774	low gain
  49	4100	1.2	1.2	21632	low gain
  50	4100	1.2	1.2	20431	low gain
  51	1000	58.3	58.3	 485	unbonded
  52	4100	1.2	1.2	17186	low gain
  53	4100	1.5	1.5	14712	low gain
