#chan	code	gain	offset	innse	comment
   0	1100	0.0	0.0	   0	low gain
   1	4100	1.6	1.6	14230	low gain
   2	4100	1.3	1.3	17349	low gain
   3	1000	72.8	72.8	 451	unbonded
   4	4100	1.5	1.5	15895	low gain
   5	4100	0.9	0.9	32438	low gain
   6	4104	1.1	1.1	20695	low gain
   7	4100	1.0	1.0	23371	low gain
   8	4100	1.1	1.1	22478	low gain
   9	4100	1.0	1.0	22880	low gain
  10	4100	0.5	0.5	43806	low gain
  11	1000	69.2	69.2	 417	unbonded
  12	4100	1.4	1.4	18789	low gain
  13	4100	1.0	1.0	23432	low gain
  14	4100	1.1	1.1	22207	low gain
  15	4100	1.4	1.4	16712	low gain
  16	4100	0.9	0.9	27681	low gain
  17	4100	1.2	1.2	20042	low gain
  18	4100	0.6	0.6	42368	low gain
  19	1000	69.7	69.7	 394	unbonded
  20	4100	1.4	1.4	15750	low gain
  21	4100	1.0	1.0	20672	low gain
  22	4100	1.3	1.3	17851	low gain
  23	4100	1.0	1.0	25338	low gain
  24	4100	1.1	1.1	20320	low gain
  25	4100	1.4	1.4	16936	low gain
  26	4100	1.4	1.4	15867	low gain
  27	1000	70.1	70.1	 440	unbonded
  28	4100	1.2	1.2	18022	low gain
  29	4100	1.4	1.4	17507	low gain
  30	4100	0.9	0.9	27014	low gain
  31	4100	0.9	0.9	25875	low gain
  32	4100	1.1	1.1	21586	low gain
  33	4100	1.0	1.0	21590	low gain
  34	4100	1.1	1.1	21565	low gain
  35	1000	70.4	70.4	 436	unbonded
  36	4100	1.4	1.4	16982	low gain
  37	4100	1.2	1.2	18959	low gain
  38	4100	1.3	1.3	18097	low gain
  39	4100	0.9	0.9	25253	low gain
  40	4100	1.4	1.4	16568	low gain
  41	4100	0.9	0.9	27177	low gain
  42	4100	1.4	1.4	16443	low gain
  43	1000	69.9	69.9	 414	unbonded
  44	4100	1.1	1.1	21870	low gain
  45	4100	1.1	1.1	22943	low gain
  46	4100	1.1	1.1	22007	low gain
  47	4100	1.1	1.1	20751	low gain
  48	4100	1.2	1.2	19005	low gain
  49	4100	0.8	0.8	28435	low gain
  50	4100	1.1	1.1	23677	low gain
  51	1000	70.9	70.9	 442	unbonded
  52	4100	1.6	1.6	14796	low gain
  53	4100	1.0	1.0	22732	low gain
  54	4100	1.0	1.0	19667	low gain
  55	4100	1.2	1.2	20227	low gain
  56	4100	1.0	1.0	22896	low gain
  57	4100	1.3	1.3	18889	low gain
  58	4100	0.9	0.9	26373	low gain
  59	1000	71.9	71.9	 416	unbonded
  60	4100	1.4	1.4	16396	low gain
  61	4100	1.3	1.3	18098	low gain
  62	4100	1.1	1.1	20841	low gain
  63	4100	0.9	0.9	27672	low gain
  64	4100	0.9	0.9	28900	low gain
  65	4100	1.4	1.4	17353	low gain
  66	4100	1.2	1.2	19558	low gain
  67	1000	67.7	67.7	 418	unbonded
  68	4100	1.7	1.7	13884	low gain
  69	4100	1.0	1.0	23404	low gain
  70	4100	0.8	0.8	28016	low gain
  71	4100	0.8	0.8	30787	low gain
  72	4100	1.1	1.1	21222	low gain
  73	4104	1.2	1.2	18787	low gain
  74	4100	0.6	0.6	42211	low gain
  75	1000	71.7	71.7	 403	unbonded
  76	4100	1.3	1.3	17371	low gain
  77	4100	1.3	1.3	17112	low gain
  78	4100	1.3	1.3	16601	low gain
  79	4100	0.9	0.9	26582	low gain
  80	4100	0.6	0.6	41945	low gain
  81	4100	1.3	1.3	18152	low gain
  82	4100	1.4	1.4	15979	low gain
  83	1000	71.6	71.6	 411	unbonded
  84	4100	1.4	1.4	17223	low gain
