#chan	code	gain	offset	innse	comment
   0	1100	0.0	0.0	   0	low gain
   1	4100	1.2	1.2	18920	low gain
   2	4100	1.0	1.0	21765	low gain
   3	1000	79.9	79.9	 404	unbonded
   4	4100	1.5	1.5	16306	low gain
   5	4100	1.1	1.1	28440	low gain
   6	4104	1.2	1.2	16861	low gain
   7	4100	1.3	1.3	15808	low gain
   8	4100	1.3	1.3	17286	low gain
   9	4100	1.2	1.2	21229	low gain
  10	4100	1.2	1.2	21135	low gain
  11	1000	75.9	75.9	 382	unbonded
  12	4100	1.3	1.3	18815	low gain
  13	4100	1.3	1.3	18446	low gain
  14	4100	1.2	1.2	19919	low gain
  15	4100	1.2	1.2	21402	low gain
  16	4100	1.5	1.5	15678	low gain
  17	4100	1.2	1.2	19136	low gain
  18	4100	1.6	1.6	14782	low gain
  19	1000	76.4	76.4	 408	unbonded
  20	4100	1.3	1.3	16990	low gain
  21	4100	1.5	1.5	15533	low gain
  22	4100	1.2	1.2	19224	low gain
  23	4100	1.3	1.3	18264	low gain
  24	4100	1.3	1.3	18016	low gain
  25	4100	1.5	1.5	15335	low gain
  26	4100	1.4	1.4	17071	low gain
  27	1000	77.1	77.1	 397	unbonded
  28	4100	1.4	1.4	15023	low gain
  29	4100	1.4	1.4	16046	low gain
  30	4100	1.2	1.2	19155	low gain
  31	4100	0.9	0.9	27210	low gain
  32	4100	1.4	1.4	16410	low gain
  33	4100	1.2	1.2	18513	low gain
  34	4100	1.4	1.4	16101	low gain
  35	1000	76.9	76.9	 401	unbonded
  36	4100	1.3	1.3	16451	low gain
  37	4100	1.3	1.3	16103	low gain
  38	4100	1.2	1.2	18397	low gain
  39	4100	0.7	0.7	31195	low gain
  40	4100	1.7	1.7	13315	low gain
  41	4100	1.4	1.4	17827	low gain
  42	4100	1.1	1.1	19295	low gain
  43	1000	76.5	76.5	 412	unbonded
  44	4100	1.2	1.2	18153	low gain
  45	4100	1.4	1.4	17586	low gain
  46	4100	1.4	1.4	16989	low gain
  47	4100	1.6	1.6	14772	low gain
  48	4100	1.4	1.4	14810	low gain
