#chan	code	gain	offset	innse	comment
   0	1100	0.0	0.0	   0	low gain
   1	4100	0.6	0.6	40961	low gain
   2	4100	1.0	1.0	24792	low gain
   3	4100	1.1	1.1	22975	low gain
   4	4100	1.2	1.2	19147	low gain
   5	4000	70.3	70.3	 588	high noise
   6	4104	1.1	1.1	20186	low gain
   7	4100	0.9	0.9	27801	low gain
   8	4100	1.1	1.1	20985	low gain
   9	4100	0.6	0.6	40798	low gain
  10	4100	0.9	0.9	24352	low gain
  11	4100	0.7	0.7	33360	low gain
  12	4100	1.0	1.0	24552	low gain
  13	1000	70.3	70.3	 427	unbonded
  14	4100	1.0	1.0	22537	low gain
  15	4100	0.8	0.8	28938	low gain
  16	4100	0.7	0.7	29955	low gain
  17	4100	1.5	1.5	17275	low gain
  18	4100	1.2	1.2	19261	low gain
  19	4100	1.1	1.1	20510	low gain
  20	4100	1.1	1.1	20880	low gain
  21	1000	71.8	71.8	 440	unbonded
  22	4100	0.8	0.8	27826	low gain
  23	4100	1.1	1.1	20965	low gain
  24	4100	1.1	1.1	21629	low gain
  25	4100	0.9	0.9	28167	low gain
  26	4100	1.0	1.0	23090	low gain
  27	4100	1.4	1.4	16267	low gain
  28	4100	1.4	1.4	15533	low gain
  29	1000	69.5	69.5	 430	unbonded
  30	4100	1.5	1.5	15766	low gain
  31	4100	0.4	0.4	61057	low gain
  32	4100	0.8	0.8	25712	low gain
  33	4100	1.2	1.2	18484	low gain
  34	4100	0.8	0.8	27570	low gain
  35	4100	1.0	1.0	22068	low gain
  36	4100	0.5	0.5	45638	low gain
  37	1000	70.8	70.8	 413	unbonded
  38	4100	1.4	1.4	15419	low gain
  39	4100	0.6	0.6	41095	low gain
  40	4100	0.8	0.8	32072	low gain
  41	4100	0.7	0.7	35965	low gain
  42	4100	0.8	0.8	26113	low gain
  43	4100	0.7	0.7	35516	low gain
  44	4100	0.5	0.5	51464	low gain
  45	1000	72.4	72.4	 408	unbonded
  46	4100	1.3	1.3	17175	low gain
  47	4100	0.9	0.9	24820	low gain
  48	4100	0.5	0.5	40199	low gain
  49	4100	0.9	0.9	24538	low gain
  50	4100	1.3	1.3	17372	low gain
  51	4100	1.0	1.0	24072	low gain
