#chan	code	gain	offset	innse	comment
   0	1100	0.0	0.0	   0	low gain
   1	4100	0.6	0.6	36946	low gain
   2	4100	0.6	0.6	39963	low gain
   3	1000	80.6	80.6	 409	unbonded
   4	4100	0.3	0.3	80282	low gain
   5	4100	0.2	0.2	113606	low gain
   6	4104	0.5	0.5	40915	low gain
   7	4100	0.6	0.6	43371	low gain
   8	4100	0.6	0.6	37980	low gain
   9	4100	0.4	0.4	54963	low gain
  10	4100	0.6	0.6	37206	low gain
  11	1000	76.5	76.5	 415	unbonded
  12	4100	1.2	1.2	20234	low gain
  13	4100	0.9	0.9	25650	low gain
  14	4100	0.4	0.4	64141	low gain
  15	4100	0.7	0.7	34510	low gain
  16	4100	0.4	0.4	53792	low gain
  17	4100	0.4	0.4	65145	low gain
  18	4100	0.1	0.1	154231	low gain
  19	1000	77.8	77.8	 394	unbonded
  20	4100	1.1	1.1	20417	low gain
  21	4100	0.8	0.8	28167	low gain
  22	4100	0.2	0.2	96585	low gain
  23	4100	0.5	0.5	47603	low gain
  24	4100	0.2	0.2	106116	low gain
  25	4100	1.0	1.0	21653	low gain
  26	4100	0.7	0.7	35569	low gain
  27	1000	77.9	77.9	 395	unbonded
  28	4100	0.6	0.6	38150	low gain
  29	4100	0.6	0.6	37792	low gain
  30	4100	0.5	0.5	54736	low gain
  31	4100	0.4	0.4	62163	low gain
  32	4100	0.5	0.5	51749	low gain
  33	4100	0.2	0.2	100413	low gain
  34	4100	0.5	0.5	47773	low gain
  35	1000	77.9	77.9	 392	unbonded
  36	4100	0.9	0.9	25437	low gain
  37	4100	0.3	0.3	76990	low gain
  38	4100	0.8	0.8	27236	low gain
  39	4100	0.5	0.5	47502	low gain
  40	4100	0.5	0.5	46862	low gain
  41	4100	0.4	0.4	52219	low gain
  42	4100	0.5	0.5	46552	low gain
  43	1000	77.6	77.6	 377	unbonded
  44	4100	1.1	1.1	22677	low gain
  45	4100	0.9	0.9	29985	low gain
  46	4100	0.7	0.7	33679	low gain
  47	4100	0.4	0.4	51908	low gain
  48	4100	0.6	0.6	39463	low gain
  49	4100	0.3	0.3	89683	low gain
  50	4100	0.7	0.7	32041	low gain
  51	1000	77.8	77.8	 383	unbonded
  52	4100	0.7	0.7	31421	low gain
  53	4100	0.5	0.5	44892	low gain
  54	4100	0.1	0.1	159480	low gain
  55	4100	0.6	0.6	41449	low gain
  56	4100	0.9	0.9	28983	low gain
  57	4100	0.9	0.9	25197	low gain
  58	4100	0.6	0.6	36495	low gain
  59	1000	79.6	79.6	 391	unbonded
  60	4100	1.1	1.1	22178	low gain
  61	4100	0.4	0.4	53503	low gain
  62	4100	0.5	0.5	46520	low gain
  63	4100	0.8	0.8	28861	low gain
  64	4100	0.2	0.2	102843	low gain
  65	4100	1.0	1.0	24113	low gain
  66	4100	0.8	0.8	31334	low gain
