#chan	code	gain	offset	innse	comment
   0	1100	0.0	0.0	   0	low gain
   1	4100	0.7	0.7	32033	low gain
   2	4100	1.2	1.2	18944	low gain
   3	4100	0.7	0.7	35031	low gain
   4	4100	1.2	1.2	20119	low gain
   5	4000	79.4	79.4	 549	high noise
   6	4104	1.1	1.1	18968	low gain
   7	4100	1.4	1.4	17739	low gain
   8	4100	0.8	0.8	30394	low gain
   9	4100	0.8	0.8	28664	low gain
  10	4100	1.1	1.1	21053	low gain
  11	4100	1.0	1.0	23113	low gain
  12	4100	0.9	0.9	27695	low gain
  13	1000	76.6	76.6	 389	unbonded
  14	4100	1.3	1.3	18934	low gain
  15	4100	0.9	0.9	26393	low gain
  16	4100	1.0	1.0	22041	low gain
  17	4100	0.8	0.8	30047	low gain
  18	4100	0.7	0.7	34690	low gain
  19	4100	0.9	0.9	26714	low gain
  20	4100	0.9	0.9	25205	low gain
  21	1000	77.5	77.5	 386	unbonded
  22	4100	1.5	1.5	15839	low gain
  23	4100	1.3	1.3	17950	low gain
  24	4100	1.0	1.0	24482	low gain
  25	4100	0.5	0.5	43827	low gain
  26	4100	0.8	0.8	29576	low gain
  27	4100	0.9	0.9	26836	low gain
  28	4100	0.8	0.8	28110	low gain
  29	1000	76.6	76.6	 394	unbonded
  30	4100	1.1	1.1	24601	low gain
  31	4100	1.1	1.1	20390	low gain
  32	4100	0.9	0.9	25368	low gain
  33	4100	1.4	1.4	15569	low gain
  34	4100	1.1	1.1	22845	low gain
  35	4100	0.7	0.7	31673	low gain
  36	4100	0.8	0.8	27922	low gain
  37	1000	76.6	76.6	 392	unbonded
  38	4100	1.1	1.1	21073	low gain
  39	4100	0.6	0.6	38174	low gain
  40	4100	1.1	1.1	23892	low gain
  41	4100	1.0	1.0	23241	low gain
  42	4100	0.8	0.8	28689	low gain
  43	4100	1.0	1.0	24099	low gain
  44	4100	0.7	0.7	33966	low gain
  45	1000	77.9	77.9	 408	unbonded
  46	4100	1.1	1.1	21743	low gain
  47	4100	0.8	0.8	28113	low gain
  48	4100	1.0	1.0	23339	low gain
  49	4100	0.6	0.6	43677	low gain
  50	4100	0.6	0.6	38606	low gain
  51	4100	0.9	0.9	26973	low gain
  52	4100	1.0	1.0	19373	low gain
  53	1000	76.4	76.4	 383	unbonded
  54	4100	1.2	1.2	17736	low gain
  55	4100	1.1	1.1	21360	low gain
  56	4100	0.9	0.9	26216	low gain
  57	4100	1.1	1.1	22785	low gain
  58	4100	0.9	0.9	24562	low gain
  59	4100	0.8	0.8	34015	low gain
  60	4100	0.9	0.9	27468	low gain
  61	1000	77.0	77.0	 368	unbonded
  62	4100	1.0	1.0	22963	low gain
  63	4100	1.2	1.2	20528	low gain
  64	4100	1.3	1.3	18629	low gain
  65	4100	0.9	0.9	26436	low gain
  66	4100	0.8	0.8	31171	low gain
  67	4100	0.6	0.6	37364	low gain
  68	4100	0.9	0.9	26220	low gain
