#chan	code	gain	offset	innse	comment
   0	1100	0.0	0.0	   0	low gain
   1	4100	1.7	1.7	13529	low gain
   2	4100	1.3	1.3	18174	low gain
   3	4100	1.5	1.5	16222	low gain
   4	4100	1.4	1.4	17554	low gain
   5	4000	60.6	60.6	 655	high noise
   6	4104	1.3	1.3	16766	low gain
   7	4100	1.3	1.3	17738	low gain
   8	4100	1.7	1.7	14956	low gain
   9	4100	1.5	1.5	16145	low gain
  10	4100	1.2	1.2	17826	low gain
  11	4100	1.2	1.2	17631	low gain
  12	4100	1.4	1.4	16563	low gain
  13	1000	56.4	56.4	 509	unbonded
  14	4100	1.4	1.4	16141	low gain
  15	4100	1.3	1.3	20308	low gain
  16	4100	1.3	1.3	17739	low gain
  17	4100	1.0	1.0	23983	low gain
  18	4100	1.4	1.4	17883	low gain
  19	4100	1.3	1.3	17501	low gain
  20	4100	1.5	1.5	14930	low gain
  21	1000	55.3	55.3	 530	unbonded
  22	4100	1.7	1.7	13946	low gain
  23	4100	1.2	1.2	20177	low gain
  24	4100	1.1	1.1	23404	low gain
  25	4100	1.4	1.4	16715	low gain
  26	4100	1.4	1.4	16963	low gain
  27	4100	1.2	1.2	18217	low gain
  28	4100	1.0	1.0	20216	low gain
  29	1000	56.3	56.3	 495	unbonded
  30	4100	1.4	1.4	16735	low gain
  31	4100	0.6	0.6	36465	low gain
  32	4100	1.2	1.2	20034	low gain
  33	4100	1.1	1.1	20877	low gain
  34	4100	1.0	1.0	23237	low gain
  35	4100	1.3	1.3	17972	low gain
  36	4100	1.2	1.2	21137	low gain
  37	4000	55.2	55.2	 569	high noise
  38	4100	1.8	1.8	12348	low gain
  39	4100	0.9	0.9	25823	low gain
  40	4100	1.2	1.2	20459	low gain
  41	4100	1.1	1.1	20488	low gain
  42	4100	1.3	1.3	16897	low gain
  43	4100	1.1	1.1	21781	low gain
  44	4100	0.8	0.8	29752	low gain
  45	1000	56.9	56.9	 479	unbonded
  46	4100	1.4	1.4	17008	low gain
  47	4100	1.2	1.2	20238	low gain
  48	4100	1.0	1.0	21445	low gain
  49	4100	1.2	1.2	17701	low gain
  50	4100	1.4	1.4	16209	low gain
  51	4100	1.2	1.2	21196	low gain
  52	4100	1.2	1.2	18492	low gain
  53	1000	55.9	55.9	 484	unbonded
  54	4100	1.2	1.2	18823	low gain
  55	4100	1.3	1.3	18258	low gain
  56	4100	1.1	1.1	21771	low gain
  57	4100	1.1	1.1	21675	low gain
  58	4100	1.4	1.4	16637	low gain
  59	4100	0.9	0.9	25840	low gain
  60	4100	1.1	1.1	21282	low gain
  61	   0	56.5	56.5	 550	OK
  62	4100	1.3	1.3	19004	low gain
  63	4100	1.0	1.0	24979	low gain
  64	4100	1.6	1.6	15634	low gain
  65	4100	1.2	1.2	20529	low gain
  66	4100	1.4	1.4	18024	low gain
  67	4100	1.0	1.0	22827	low gain
  68	4100	1.2	1.2	19195	low gain
  69	1000	57.2	57.2	 526	unbonded
  70	4100	1.4	1.4	16881	low gain
  71	4100	0.8	0.8	28188	low gain
  72	4100	1.3	1.3	18538	low gain
  73	4104	1.3	1.3	16512	low gain
  74	4100	1.4	1.4	18263	low gain
  75	4100	1.4	1.4	17525	low gain
  76	4100	1.2	1.2	18989	low gain
  77	1000	57.4	57.4	 482	unbonded
  78	4100	1.3	1.3	17897	low gain
  79	4100	1.2	1.2	19607	low gain
