#chan	code	gain	offset	innse	comment
   0	1100	0.0	0.0	   0	low gain
   1	4100	0.6	0.6	37800	low gain
   2	4100	0.9	0.9	25634	low gain
   3	1000	64.1	64.1	 499	unbonded
   4	4100	1.9	1.9	12383	low gain
   5	4100	1.3	1.3	22678	low gain
   6	4104	1.0	1.0	20313	low gain
   7	4100	1.2	1.2	20437	low gain
   8	4100	1.4	1.4	17252	low gain
   9	4100	1.1	1.1	22331	low gain
  10	4100	1.2	1.2	18887	low gain
  11	1000	60.3	60.3	 511	unbonded
  12	4100	1.3	1.3	16354	low gain
  13	4100	0.9	0.9	24441	low gain
  14	4100	1.7	1.7	14636	low gain
  15	4100	1.4	1.4	16996	low gain
  16	4100	1.6	1.6	15044	low gain
  17	4100	0.9	0.9	29705	low gain
  18	4100	1.2	1.2	19410	low gain
  19	1000	62.2	62.2	 444	unbonded
  20	4100	2.1	2.1	10820	low gain
  21	4100	1.4	1.4	15264	low gain
  22	4100	1.2	1.2	20070	low gain
  23	4100	1.1	1.1	21354	low gain
  24	4100	1.5	1.5	15590	low gain
  25	4100	1.2	1.2	19633	low gain
  26	4100	1.2	1.2	21351	low gain
  27	1000	62.5	62.5	 482	unbonded
  28	4100	1.5	1.5	14442	low gain
  29	4100	1.0	1.0	23364	low gain
  30	4100	1.0	1.0	23622	low gain
  31	4100	1.1	1.1	19469	low gain
  32	4100	1.3	1.3	17757	low gain
  33	4100	1.2	1.2	21138	low gain
  34	4100	0.8	0.8	29935	low gain
  35	1000	62.3	62.3	 496	unbonded
  36	4100	1.2	1.2	20691	low gain
  37	4100	1.0	1.0	23903	low gain
  38	4100	1.3	1.3	17695	low gain
  39	4100	1.1	1.1	21424	low gain
  40	4100	0.8	0.8	29929	low gain
  41	4100	1.0	1.0	24173	low gain
  42	4100	0.9	0.9	26662	low gain
  43	1000	61.2	61.2	 490	unbonded
  44	4100	0.7	0.7	34328	low gain
  45	4100	1.2	1.2	21021	low gain
  46	4100	1.3	1.3	16353	low gain
  47	4100	1.6	1.6	15384	low gain
  48	4100	1.0	1.0	24027	low gain
  49	4100	1.1	1.1	23204	low gain
  50	4100	1.1	1.1	22718	low gain
  51	1000	62.1	62.1	 464	unbonded
  52	4100	1.5	1.5	14636	low gain
  53	4100	0.8	0.8	28275	low gain
  54	4100	0.7	0.7	31395	low gain
  55	4100	1.0	1.0	24326	low gain
  56	4100	1.1	1.1	21418	low gain
  57	4100	1.4	1.4	18527	low gain
  58	4100	1.4	1.4	16392	low gain
  59	1000	63.6	63.6	 470	unbonded
  60	4100	1.6	1.6	14085	low gain
  61	4100	1.3	1.3	18104	low gain
  62	4100	1.1	1.1	20960	low gain
  63	4100	0.8	0.8	29187	low gain
  64	4100	1.0	1.0	22765	low gain
  65	4100	1.0	1.0	25229	low gain
  66	4100	1.9	1.9	13104	low gain
  67	1000	60.1	60.1	 485	unbonded
  68	4100	1.7	1.7	14453	low gain
  69	4100	1.3	1.3	18077	low gain
  70	4100	1.6	1.6	15288	low gain
