#chan	code	gain	offset	innse	comment
   0	1100	0.0	0.0	   0	low gain
   1	4100	0.7	0.7	33145	low gain
   2	4100	0.7	0.7	30230	low gain
   3	1000	68.6	68.6	 461	unbonded
   4	4100	0.8	0.8	31353	low gain
   5	4100	0.7	0.7	45864	low gain
   6	4104	0.9	0.9	23569	low gain
   7	4100	1.3	1.3	19143	low gain
   8	4100	0.8	0.8	30002	low gain
   9	4100	0.9	0.9	28189	low gain
  10	4100	0.6	0.6	39175	low gain
  11	1000	65.0	65.0	 450	unbonded
  12	4100	0.7	0.7	33670	low gain
  13	4100	0.9	0.9	23530	low gain
  14	4100	1.0	1.0	23453	low gain
  15	4100	0.9	0.9	26022	low gain
  16	4100	0.8	0.8	29179	low gain
  17	4100	1.1	1.1	22546	low gain
  18	4100	1.2	1.2	17300	low gain
  19	1000	65.5	65.5	 449	unbonded
  20	4100	1.2	1.2	18775	low gain
  21	4100	0.7	0.7	30380	low gain
  22	4100	0.7	0.7	34003	low gain
  23	4100	0.6	0.6	38847	low gain
  24	4100	1.0	1.0	22447	low gain
  25	4100	0.6	0.6	37695	low gain
  26	4100	0.5	0.5	44179	low gain
  27	1000	66.3	66.3	 470	unbonded
  28	4100	0.8	0.8	25905	low gain
  29	4100	0.8	0.8	26633	low gain
  30	4100	0.4	0.4	61814	low gain
  31	4100	0.8	0.8	27654	low gain
  32	4100	0.9	0.9	26839	low gain
  33	4100	0.9	0.9	23509	low gain
  34	4100	0.8	0.8	27500	low gain
  35	1000	65.9	65.9	 478	unbonded
  36	4100	0.9	0.9	25601	low gain
  37	4100	0.8	0.8	30869	low gain
  38	4100	1.3	1.3	18183	low gain
  39	4100	0.7	0.7	32161	low gain
  40	4100	0.8	0.8	29908	low gain
  41	4100	0.7	0.7	35324	low gain
  42	4100	0.9	0.9	24905	low gain
  43	1000	65.5	65.5	 466	unbonded
  44	4100	1.1	1.1	22337	low gain
  45	4100	0.8	0.8	34123	low gain
  46	4100	0.7	0.7	32405	low gain
  47	4100	1.1	1.1	22017	low gain
  48	4100	0.4	0.4	58644	low gain
  49	4100	0.6	0.6	41800	low gain
  50	4100	0.6	0.6	43981	low gain
  51	1000	66.9	66.9	 419	unbonded
  52	4100	1.0	1.0	21736	low gain
  53	4100	0.6	0.6	37002	low gain
  54	4100	0.7	0.7	30482	low gain
  55	4100	1.0	1.0	22999	low gain
  56	4100	0.9	0.9	25281	low gain
  57	4100	0.6	0.6	35346	low gain
  58	4100	0.3	0.3	87472	low gain
  59	1000	67.2	67.2	 470	unbonded
  60	4100	0.7	0.7	34863	low gain
  61	4100	0.7	0.7	32642	low gain
  62	4100	1.1	1.1	20834	low gain
  63	4100	0.6	0.6	41024	low gain
  64	4100	1.3	1.3	17506	low gain
