#chan	code	gain	offset	innse	comment
   0	1100	0.0	0.0	   0	low gain
   1	4100	1.4	1.4	18328	low gain
   2	4100	0.8	0.8	28790	low gain
   3	1000	65.2	65.2	 470	unbonded
   4	4100	1.2	1.2	20963	low gain
   5	4100	1.4	1.4	21355	low gain
   6	4104	1.3	1.3	16507	low gain
   7	4100	0.6	0.6	43542	low gain
   8	4100	1.3	1.3	17964	low gain
   9	4100	1.1	1.1	21457	low gain
  10	4100	1.4	1.4	17776	low gain
  11	1000	61.6	61.6	 470	unbonded
  12	4100	1.8	1.8	12471	low gain
  13	4100	0.6	0.6	38373	low gain
  14	4100	1.1	1.1	21148	low gain
  15	4100	1.1	1.1	21352	low gain
  16	4100	0.9	0.9	24023	low gain
  17	4100	1.3	1.3	18859	low gain
  18	4100	1.2	1.2	19976	low gain
  19	1000	62.1	62.1	 482	unbonded
  20	4100	1.4	1.4	15122	low gain
  21	4100	1.0	1.0	21521	low gain
  22	4100	1.0	1.0	22961	low gain
  23	4100	0.7	0.7	37173	low gain
  24	4100	1.0	1.0	26019	low gain
  25	4100	1.4	1.4	17003	low gain
  26	4100	1.4	1.4	17775	low gain
  27	1000	62.4	62.4	 464	unbonded
  28	4100	1.4	1.4	16012	low gain
  29	4100	1.1	1.1	23282	low gain
  30	4100	1.4	1.4	17068	low gain
  31	4100	0.7	0.7	33601	low gain
  32	4100	1.4	1.4	18288	low gain
  33	4100	1.3	1.3	18280	low gain
  34	4100	1.1	1.1	21053	low gain
  35	1000	62.3	62.3	 484	unbonded
  36	4100	1.2	1.2	19644	low gain
  37	4100	1.0	1.0	23301	low gain
  38	4100	0.8	0.8	26324	low gain
  39	4100	1.1	1.1	20861	low gain
  40	4100	1.3	1.3	17565	low gain
  41	4100	1.2	1.2	18597	low gain
  42	4100	0.9	0.9	25605	low gain
  43	1000	61.6	61.6	 489	unbonded
  44	4100	1.1	1.1	21694	low gain
  45	4100	1.2	1.2	20885	low gain
  46	4100	0.8	0.8	29342	low gain
  47	4100	1.3	1.3	18305	low gain
  48	4100	1.0	1.0	23539	low gain
  49	4100	1.2	1.2	18803	low gain
  50	4100	1.2	1.2	20579	low gain
  51	1000	62.7	62.7	 486	unbonded
  52	4100	1.1	1.1	17933	low gain
  53	4100	1.3	1.3	16425	low gain
  54	4100	1.2	1.2	18068	low gain
  55	4100	1.2	1.2	20695	low gain
  56	4100	1.6	1.6	15535	low gain
  57	4100	0.7	0.7	34376	low gain
  58	4100	1.2	1.2	18992	low gain
  59	1000	64.1	64.1	 481	unbonded
  60	4100	1.5	1.5	15699	low gain
  61	4100	1.3	1.3	17491	low gain
  62	4100	1.5	1.5	15476	low gain
  63	4100	1.1	1.1	21760	low gain
  64	4100	0.7	0.7	35417	low gain
  65	4100	1.5	1.5	15125	low gain
