#chan	code	gain	offset	innse	comment
   0	1100	0.0	0.0	   0	low gain
   1	4100	0.7	0.7	31517	low gain
   2	4100	0.5	0.5	46118	low gain
   3	1000	79.9	79.9	 417	unbonded
   4	4100	1.4	1.4	17284	low gain
   5	4100	0.9	0.9	33050	low gain
   6	4104	0.7	0.7	29074	low gain
   7	4100	1.1	1.1	22523	low gain
   8	4100	1.1	1.1	20865	low gain
   9	4100	1.1	1.1	21137	low gain
  10	4100	0.9	0.9	27975	low gain
  11	1000	76.6	76.6	 408	unbonded
  12	4100	1.2	1.2	20547	low gain
  13	4100	0.9	0.9	25742	low gain
  14	4100	0.9	0.9	24661	low gain
  15	4100	0.9	0.9	24655	low gain
  16	4100	1.0	1.0	21878	low gain
  17	4100	0.9	0.9	26723	low gain
  18	4100	0.7	0.7	34749	low gain
  19	1000	78.1	78.1	 391	unbonded
  20	4100	1.0	1.0	22143	low gain
  21	4100	1.3	1.3	17644	low gain
  22	4100	0.4	0.4	55816	low gain
  23	4100	0.8	0.8	28399	low gain
  24	4100	0.7	0.7	33184	low gain
  25	4100	0.8	0.8	31746	low gain
  26	4100	0.8	0.8	29889	low gain
  27	1000	77.5	77.5	 371	unbonded
  28	4100	1.5	1.5	14656	low gain
  29	4100	0.8	0.8	27688	low gain
  30	4100	1.0	1.0	24071	low gain
  31	4100	0.7	0.7	32600	low gain
  32	4100	0.8	0.8	28236	low gain
  33	4100	1.2	1.2	19590	low gain
  34	4100	0.6	0.6	36795	low gain
  35	1000	77.7	77.7	 382	unbonded
  36	4100	1.5	1.5	14354	low gain
  37	4100	1.3	1.3	18906	low gain
  38	4100	0.7	0.7	30959	low gain
  39	4100	0.8	0.8	29239	low gain
  40	4100	0.7	0.7	35028	low gain
  41	4100	1.4	1.4	18034	low gain
  42	4100	0.7	0.7	31660	low gain
  43	1000	77.7	77.7	 386	unbonded
  44	4100	1.0	1.0	22481	low gain
  45	4100	0.5	0.5	45744	low gain
  46	4100	1.2	1.2	20119	low gain
  47	4100	0.8	0.8	29164	low gain
  48	4100	0.6	0.6	34558	low gain
  49	4100	1.0	1.0	23740	low gain
  50	4100	1.0	1.0	23018	low gain
  51	1000	78.6	78.6	 386	unbonded
  52	4100	0.9	0.9	24852	low gain
  53	4100	1.1	1.1	22479	low gain
  54	4100	0.9	0.9	25448	low gain
